latitude,longitude
-2.607507,51.477949
-2.596872,51.47235
-2.596856,51.472335
-2.596822,51.472293
-2.596744,51.472208
-2.596053,51.471797
-2.595975,51.47171
-2.595905,51.471627
-2.595832,51.471543
-2.595745,51.471464
-2.595653,51.471381
-2.595552,51.471305
-2.595459,51.471233
-2.595367,51.471161
-2.595281,51.471098
-2.595195,51.471027
-2.595101,51.470958
-2.595012,51.470892
-2.594929,51.470828
-2.594854,51.470767
-2.594781,51.470715
-2.594711,51.470672
-2.594651,51.470621
-2.594597,51.470579
-2.594563,51.470549
-2.594546,51.470531
-2.594525,51.470517
-2.594521,51.470513
-2.594524,51.47051
-2.594529,51.470489
-2.594249,51.470324
-2.594255,51.470324
-2.591871,51.468935
-2.591254,51.468575
-2.590955,51.468464
-2.590596,51.468404
-2.590556,51.468386
-2.590219,51.468336
-2.590464,51.46831
-2.590478,51.468344
-2.590439,51.468342
-2.590425,51.468338
-2.590411,51.468332
-2.590411,51.468332
-2.590394,51.468322
-2.590374,51.46831
-2.590363,51.468302
-2.590352,51.468293
-2.590341,51.468282
-2.590329,51.46827
-2.590172,51.468074
-2.590279,51.468207
-2.590465,51.468291
-2.591556,51.468513
-2.591633,51.468531
-2.591634,51.468531
-2.591635,51.468531
-2.591796,51.468566
-2.592587,51.468732
-2.592602,51.468728
-2.592599,51.468732
-2.592569,51.468703
-2.59259,51.468588
-2.590265,51.4656
-2.590028,51.465304
-2.589979,51.465217
-2.589933,51.465123
-2.589902,51.465047
-2.589869,51.464988
-2.58985,51.464893
-2.589842,51.464841
-2.589851,51.464789
-2.589818,51.46474
-2.589781,51.464717
-2.589756,51.464681
-2.589742,51.464622
-2.569191,51.468416
-2.568881,51.468516
-2.564973,51.470827
-2.564774,51.470948
-2.564603,51.471054
-2.564475,51.471209
-2.564279,51.47131
-2.564083,51.471441
-2.5639,51.471591
-2.563695,51.471726
-2.563545,51.471868
-2.56338,51.472002
-2.563199,51.47215
-2.563052,51.472298
-2.562876,51.472433
-2.562768,51.472574
-2.562642,51.472709
-2.561604,51.473911
-2.561568,51.474017
-2.561502,51.474104
-2.561257,51.474449
-2.561243,51.474486
-2.562662,51.474811
-2.562762,51.474781
-2.562762,51.474781
-2.563143,51.474667
-2.563106,51.474771
-2.563604,51.474289
-2.563794,51.474109
-2.563875,51.474048
-2.563858,51.47404
-2.563853,51.47404
-2.563848,51.474027
-2.563853,51.474034
-2.563859,51.474041
-2.56387,51.474055
-2.563796,51.474078
-2.563259,51.474356
-2.562759,51.474619
-2.561752,51.4751
-2.561744,51.475102
-2.561677,51.475096
-2.561612,51.475111
-2.561568,51.475124
-2.561456,51.475143
-2.561347,51.475167
-2.56119,51.475214
-2.560507,51.4797
-2.560515,51.479901
-2.560524,51.480502
-2.560512,51.480702
-2.528684,51.505419
-2.528419,51.505518
-2.528374,51.505683
-2.528009,51.505814
-2.527156,51.505826
-2.527028,51.505795
-2.526949,51.505703
-2.526773,51.505643
-2.526579,51.505556
-2.526469,51.505471
-2.52636,51.505335
-2.524504,51.504659
-2.524295,51.504634
-2.523182,51.504441
-2.521317,51.504145
-2.521254,51.50413
-2.522973,51.501829
-2.523021,51.501764
